Date,NINGDE_Close,BYD_Close
2023-03-16,200.76,75.53
2023-03-17,195.69,76.57
2023-03-20,197.89,75.79
2023-03-21,205.57,77.1
2023-03-22,208.59,78.33
2023-03-23,208.13,79.09
2023-03-24,205.46,79.27
2023-03-27,207.09,78.48
2023-03-28,204.92,78.93
2023-03-29,209.13,79.83
2023-03-30,209.09,83.0
2023-03-31,212.39,82.6
2023-04-03,208.31,82.57
2023-04-04,202.36,80.9
2023-04-06,202.37,80.6
2023-04-07,203.76,80.36
2023-04-10,210.15,80.93
2023-04-11,209.0,80.54
2023-04-12,204.59,78.4
2023-04-13,202.51,78.2
2023-04-14,207.52,79.28
2023-04-17,213.41,80.41
2023-04-18,214.03,80.26
2023-04-19,214.79,80.88
2023-04-20,206.81,78.94
2023-04-21,211.8,78.26
2023-04-24,207.3,81.76
2023-04-25,201.2,78.7
2023-04-26,212.71,80.93
2023-04-27,219.21,83.57
2023-04-28,219.06,82.55
2023-05-04,213.73,81.44
2023-05-05,215.21,80.62
2023-05-08,219.02,81.94
2023-05-09,214.04,80.63
2023-05-10,220.73,83.86
2023-05-11,228.61,85.18
2023-05-12,226.19,83.96
2023-05-15,226.5,85.56
2023-05-16,227.21,85.64
2023-05-17,228.21,84.26
2023-05-18,220.61,83.62
2023-05-19,218.21,83.66
2023-05-22,218.51,85.63
2023-05-23,213.63,84.91
2023-05-24,213.46,84.57
2023-05-25,212.3,82.46
2023-05-26,208.21,79.59
2023-05-29,205.27,78.91
2023-05-30,213.2,81.33
2023-05-31,209.38,81.82
2023-06-01,211.11,82.41
2023-06-02,216.65,83.62
2023-06-05,208.01,83.37
2023-06-06,207.49,84.22
2023-06-07,195.51,82.78
2023-06-08,196.22,82.26
2023-06-09,200.25,83.26
2023-06-12,200.16,84.1
2023-06-13,201.31,84.34
2023-06-14,201.61,84.93
2023-06-15,219.09,87.89
2023-06-16,219.31,87.62
2023-06-19,216.09,87.0
2023-06-20,216.21,86.68
2023-06-21,213.12,86.52
2023-06-26,213.38,84.89
2023-06-27,211.68,83.95
2023-06-28,212.71,84.01
2023-06-29,210.71,82.5
2023-06-30,217.0,83.35
2023-07-03,218.09,86.42
2023-07-04,217.46,87.76
2023-07-05,215.72,86.26
2023-07-06,213.06,86.63
2023-07-07,210.46,85.4
2023-07-10,217.01,85.11
2023-07-11,217.3,87.04
2023-07-12,215.2,85.8
2023-07-13,218.21,86.54
2023-07-14,216.49,85.4
2023-07-17,213.86,85.43
2023-07-18,213.71,85.76
2023-07-19,207.71,85.54
2023-07-20,209.26,85.58
2023-07-21,209.8,85.37
2023-07-24,207.19,83.1
2023-07-25,214.56,85.46
2023-07-26,214.87,84.63
2023-07-27,215.19,84.47
2023-07-28,218.26,86.64
2023-07-31,225.96,88.31
2023-08-01,223.71,87.14
2023-08-02,224.71,86.98
2023-08-03,227.35,87.05
2023-08-04,233.72,87.08
2023-08-07,234.7,86.64
2023-08-08,235.35,85.41
2023-08-09,235.21,85.28
2023-08-10,234.71,85.21
2023-08-11,229.71,84.06
2023-08-14,221.11,79.58
2023-08-15,219.51,79.16
2023-08-16,220.81,79.04
