Date,Close_1,Vol_1,Close_2,Vol_2,price_spread,price_ratio,volume_ratio
2022-10-20,1470.26,42778,137.38,161200,1332.88,10.702140049497745,0.26537220843672454
2022-10-21,1450.76,38907,135.38,163210,1315.38,10.716206234303442,0.23838612830096195
2022-10-24,1328.04,132098,126.46,344039,1201.58,10.501660604143604,0.3839622833457835
2022-10-25,1306.51,81362,125.35,209630,1181.16,10.42289589150379,0.3881219291131994
2022-10-26,1290.84,81781,126.63,179593,1164.21,10.193792940061597,0.45536852772658176
2022-10-27,1227.76,107106,120.33,369655,1107.43,10.20327432892878,0.28974584409787507
2022-10-28,1186.76,93143,120.73,255862,1066.03,9.829868301167895,0.3640360819504264
2022-10-31,1176.76,71847,116.73,225917,1060.03,10.08104172020903,0.31802387602526594
2022-11-01,1288.77,118766,125.81,391551,1162.96,10.24378030363246,0.3033219171959719
2022-11-02,1298.72,79777,126.85,318674,1171.8700000000001,10.238234134804888,0.25034047333638765
2022-11-03,1266.26,45160,124.15,192819,1142.11,10.199436165928311,0.23420928435475757
2022-11-04,1343.33,80008,133.23,478983,1210.1,10.08278916160024,0.1670372434929841
2022-11-07,1333.87,42698,134.37,228691,1199.5,9.926843789536354,0.18670607938222317
2022-11-08,1311.64,39325,130.72,235678,1180.92,10.033965728274175,0.16685901950966997
2022-11-09,1286.66,36090,128.63,151242,1158.0300000000002,10.002798725025267,0.23862419169278376
2022-11-10,1301.76,37720,128.99,176748,1172.77,10.091945112024186,0.2134111842849707
2022-11-11,1354.91,73947,133.25,368534,1221.66,10.168180112570358,0.20065177161401662
2022-11-14,1359.76,57370,133.53,281953,1226.23,10.183179809780574,0.20347362858348733
2022-11-15,1414.76,56318,137.38,276567,1277.38,10.298151113699229,0.20363239287405946
2022-11-16,1412.01,26848,137.44,182594,1274.57,10.273646682188591,0.147036594849776
2022-11-17,1393.76,30580,135.83,165581,1257.93,10.261061621144076,0.18468302522632427
2022-11-18,1393.89,23609,136.84,145856,1257.0500000000002,10.18627594270681,0.16186512724879332
2022-11-21,1346.74,39096,132.16,217625,1214.58,10.19022397094431,0.17964847788627225
2022-11-22,1366.71,29901,133.46,143770,1233.25,10.24059643338828,0.20797802044932878
2022-11-23,1375.76,22177,133.0,113462,1242.76,10.34406015037594,0.19545751000334913
2022-11-24,1346.75,27687,131.04,150858,1215.71,10.277396214896216,0.18353020721473173
2022-11-25,1348.77,18621,130.61,106766,1218.1599999999999,10.326697802618481,0.1744094561939194
2022-11-28,1336.64,47723,130.88,190131,1205.7600000000002,10.212713936430319,0.25100062588425875
2022-11-29,1425.76,73420,138.28,410407,1287.48,10.310673994793174,0.17889558413964674
2022-11-30,1425.76,31497,140.09,252286,1285.67,10.17745734884717,0.12484640447745812
2022-12-01,1457.56,51358,147.82,440921,1309.74,9.86037072114734,0.11647891572413199
2022-12-02,1460.64,23884,146.29,210478,1314.3500000000001,9.984551233850572,0.11347504252225886
2022-12-05,1491.66,36127,151.74,297958,1339.92,9.830367734282325,0.1212486323575806
2022-12-06,1514.76,44147,158.63,433695,1356.13,9.549013427472735,0.10179273452541533
2022-12-07,1510.76,35526,156.91,311288,1353.85,9.628194506404945,0.11412582560201485
2022-12-08,1513.78,19730,157.99,156448,1355.79,9.581492499525286,0.12611219063203108
2022-12-09,1556.76,39215,166.5,419578,1390.26,9.34990990990991,0.0934629556363775
2022-12-12,1565.78,34755,161.58,299060,1404.2,9.690431984156454,0.11621413763124457
2022-12-13,1576.76,21385,162.7,192762,1414.06,9.69121081745544,0.11093991554351999
2022-12-14,1597.63,29098,167.31,286989,1430.3200000000002,9.54892116430578,0.10139064563450167
2022-12-15,1613.75,30634,165.19,199344,1448.56,9.769053816817,0.15367405088690905
2022-12-16,1613.63,33303,165.75,186426,1447.88,9.735324283559578,0.17863924559878988
2022-12-19,1599.76,24987,163.18,194184,1436.58,9.80365240838338,0.12867692497837102
2022-12-20,1541.76,46198,155.74,343458,1386.02,9.89957621677154,0.1345084406244723
2022-12-21,1565.76,22816,157.72,153853,1408.04,9.927466396145068,0.14829740076566592
2022-12-22,1594.76,23175,162.73,244424,1432.03,9.800036870890432,0.09481474814257193
2022-12-23,1597.76,17319,163.52,198620,1434.24,9.771037181996086,0.08719665693283657
2022-12-26,1568.82,21384,161.83,178298,1406.99,9.694247049372798,0.11993404300665178
2022-12-27,1581.67,17905,164.28,152275,1417.39,9.627891404918433,0.11758331965194549
2022-12-28,1581.67,21438,163.41,139378,1418.26,9.679150602778288,0.15381193588658182
2022-12-29,1567.67,22418,161.98,168505,1405.69,9.67817014446228,0.13304056259458177
2022-12-30,1575.67,25333,163.92,149765,1411.75,9.612432894094681,0.16915167095115682
2023-01-03,1578.68,26034,161.43,182062,1417.25,9.779347085424023,0.14299524337862926
2023-01-04,1573.68,20416,161.85,128836,1411.8300000000002,9.723076923076924,0.1584650253034866
2023-01-05,1649.67,47943,172.23,402791,1477.44,9.578296464030657,0.11902698918297579
2023-01-06,1652.44,24904,173.69,233383,1478.75,9.513731360469803,0.10670871485926567
2023-01-09,1689.87,30977,179.11,275573,1510.7599999999998,9.434816593155043,0.11240941601680861
2023-01-10,1703.12,22732,178.47,202752,1524.6499999999999,9.542892362862105,0.11211726641414141
2023-01-11,1693.62,22720,177.33,169995,1516.29,9.550668245643713,0.1336509897349922
2023-01-12,1682.67,17193,176.62,138227,1506.0500000000002,9.52706375268939,0.12438235655841479
2023-01-13,1735.67,31940,181.81,245064,1553.8600000000001,9.546614597656895,0.13033330068879967
